Date,Open
2020-01-21,29269.05078125
2020-01-22,29263.630859375
2020-01-23,29111.01953125
2020-01-24,29230.390625
2020-01-27,28542.490234375
2020-01-28,28594.279296875
2020-01-29,28820.529296875
2020-01-30,28640.16015625
2020-01-31,28813.0390625
2020-02-03,28319.650390625
2020-02-04,28696.740234375
2020-02-05,29048.73046875
2020-02-06,29388.580078125
2020-02-07,29286.919921875
2020-02-10,28995.66015625
2020-02-11,29390.7109375
2020-02-12,29406.75
2020-02-13,29436.029296875
2020-02-14,29440.470703125
2020-02-18,29282.779296875
2020-02-19,29312.69921875
2020-02-20,29296.25
2020-02-21,29146.529296875
2020-02-24,28402.9296875
2020-02-25,28037.650390625
2020-02-26,27159.4609375
2020-02-27,26526.0
2020-02-28,25270.830078125
2020-03-02,25590.509765625
2020-03-03,26762.470703125
2020-03-04,26383.6796875
2020-03-05,26671.919921875
2020-03-06,25457.2109375
2020-03-09,24992.359375
2020-03-10,24453.0
2020-03-11,24604.630859375
2020-03-12,22184.7109375
2020-03-13,21973.8203125
2020-03-16,20917.529296875
2020-03-17,20487.05078125
2020-03-18,20188.689453125
2020-03-19,19830.009765625
2020-03-20,20253.150390625
2020-03-23,19028.359375
2020-03-24,19722.189453125
2020-03-25,21050.33984375
2020-03-26,21468.380859375
2020-03-27,21898.470703125
2020-03-30,21678.220703125
2020-03-31,22208.419921875
2020-04-01,21227.380859375
2020-04-02,20819.4609375
2020-04-03,21285.9296875
2020-04-06,21693.630859375
2020-04-07,23537.439453125
2020-04-08,22893.470703125
2020-04-09,23690.66015625
2020-04-13,23698.9296875
2020-04-14,23690.5703125
2020-04-15,23600.720703125
2020-04-16,23543.66015625
2020-04-17,23817.150390625
2020-04-20,24095.099609375
2020-04-21,23365.25
2020-04-22,23437.33984375
2020-04-23,23543.08984375
2020-04-24,23628.240234375
2020-04-27,23866.150390625
2020-04-28,24357.169921875
2020-04-29,24490.369140625
2020-04-30,24585.5703125
2020-05-01,24120.779296875
2020-05-04,23581.55078125
2020-05-05,23958.880859375
2020-05-06,23978.880859375
2020-05-07,23837.2109375
2020-05-08,24107.8203125
2020-05-11,24256.44921875
2020-05-12,24292.83984375
2020-05-13,23702.16015625
2020-05-14,23049.060546875
2020-05-15,23454.830078125
2020-05-18,24059.98046875
2020-05-19,24577.48046875
2020-05-20,24455.939453125
2020-05-21,24564.26953125
2020-05-22,24461.98046875
2020-05-26,24781.83984375
2020-05-27,25298.630859375
2020-05-28,25697.359375
2020-05-29,25324.150390625
2020-06-01,25342.990234375
2020-06-02,25582.51953125
2020-06-03,25906.880859375
2020-06-04,26226.490234375
2020-06-05,26836.80078125
2020-06-08,27232.9296875
2020-06-09,27447.369140625
2020-06-10,27251.890625
2020-06-11,26282.509765625
2020-06-12,25659.419921875
2020-06-15,25270.390625
2020-06-16,26326.6796875
2020-06-17,26330.51953125
2020-06-18,26016.44921875
2020-06-19,26213.099609375
2020-06-22,25865.080078125
2020-06-23,26159.390625
2020-06-24,25992.9609375
2020-06-25,25365.220703125
2020-06-26,25641.689453125
2020-06-29,25152.44921875
2020-06-30,25512.4296875
2020-07-01,25879.380859375
2020-07-02,25936.44921875
2020-07-06,25996.080078125
2020-07-07,26172.009765625
2020-07-08,25950.060546875
2020-07-09,26094.919921875
2020-07-10,25690.349609375
2020-07-13,26225.0703125
2020-07-14,26044.169921875
2020-07-15,27009.810546875
2020-07-16,26746.5703125
2020-07-17,26774.619140625
2020-07-20,26660.2890625
2020-07-21,26833.140625
2020-07-22,26824.560546875
2020-07-23,26955.970703125
2020-07-24,26533.41015625
2020-07-27,26447.669921875
2020-07-28,26529.44921875
2020-07-29,26388.439453125
2020-07-30,26367.419921875
2020-07-31,26409.330078125
2020-08-03,26542.3203125
2020-08-04,26664.609375
2020-08-05,26924.779296875
2020-08-06,27170.8203125
2020-08-07,27321.6796875
2020-08-10,27488.2109375
2020-08-11,27961.640625
2020-08-12,27860.240234375
2020-08-13,27922.509765625
2020-08-14,27828.9296875
2020-08-17,27970.05078125
2020-08-18,27853.48046875
2020-08-19,27811.259765625
2020-08-20,27622.6796875
2020-08-21,27758.130859375
2020-08-24,28077.580078125
2020-08-25,28347.419921875
2020-08-26,28257.880859375
2020-08-27,28384.0703125
2020-08-28,28601.2890625
2020-08-31,28643.66015625
2020-09-01,28439.609375
2020-09-02,28736.7890625
2020-09-03,29090.69921875
2020-09-04,28341.05078125
2020-09-08,27925.23046875
2020-09-09,27711.7109375
2020-09-10,28022.509765625
2020-09-11,27613.859375
2020-09-14,27718.740234375
2020-09-15,28139.759765625
2020-09-16,28031.689453125
2020-09-17,27834.1796875
2020-09-18,27864.869140625
2020-09-21,27484.7109375
2020-09-22,27170.33984375
2020-09-23,27413.599609375
2020-09-24,26716.08984375
2020-09-25,26694.509765625
2020-09-28,27362.140625
2020-09-29,27560.240234375
2020-09-30,27514.640625
2020-10-01,27940.630859375
2020-10-02,27536.390625
2020-10-05,27825.419921875
2020-10-06,28214.240234375
2020-10-07,27971.359375
2020-10-08,28348.859375
2020-10-09,28533.609375
2020-10-12,28671.119140625
2020-10-13,28764.94921875
2020-10-14,28731.30078125
2020-10-15,28323.400390625
2020-10-16,28570.720703125
2020-10-19,28633.55078125
2020-10-20,28245.849609375
2020-10-21,28270.66015625
2020-10-22,28197.419921875
2020-10-23,28409.650390625
2020-10-26,28185.8203125
2020-10-27,27651.1796875
2020-10-28,27102.140625
2020-10-29,26480.98046875
2020-10-30,26572.26953125
2020-11-02,26691.279296875
2020-11-03,27138.689453125
2020-11-04,27512.830078125
2020-11-05,28083.369140625
2020-11-06,28399.130859375
2020-11-09,29467.900390625
2020-11-10,29254.169921875
2020-11-11,29524.349609375
2020-11-12,29231.91015625
2020-11-13,29203.900390625
2020-11-16,29672.359375
2020-11-17,29800.150390625
2020-11-18,29875.400390625
2020-11-19,29370.919921875
2020-11-20,29437.5703125
2020-11-23,29332.8203125
2020-11-24,29746.109375
2020-11-25,30058.869140625
2020-11-27,29911.330078125
2020-11-30,29854.509765625
2020-12-01,29797.5
2020-12-02,29695.08984375
2020-12-03,29920.830078125
2020-12-04,29989.560546875
2020-12-07,30233.029296875
2020-12-08,29997.94921875
2020-12-09,30229.810546875
2020-12-10,30032.55078125
2020-12-11,29988.2109375
2020-12-14,30123.91015625
2020-12-15,29919.08984375
2020-12-16,30191.380859375
2020-12-17,30216.0
2020-12-18,30314.259765625
2020-12-21,30159.0
2020-12-22,30200.19921875
2020-12-23,30046.73046875
2020-12-24,30155.919921875
2020-12-28,30283.23046875
2020-12-29,30492.0703125
2020-12-30,30415.08984375
2020-12-31,30417.640625
2021-01-04,30627.470703125
2021-01-05,30204.25
2021-01-06,30362.779296875
2021-01-07,30901.1796875
2021-01-08,31069.580078125
2021-01-11,31015.369140625
2021-01-12,31015.009765625
2021-01-13,31084.880859375
2021-01-14,31085.669921875
2021-01-15,30926.76953125
2021-01-19,30887.419921875
2021-01-20,31017.5390625
2021-01-21,31198.009765625
2021-01-22,31141.560546875
2021-01-25,30989.849609375
2021-01-26,30968.55078125
2021-01-27,30893.779296875
2021-01-28,30377.189453125
2021-01-29,30553.91015625
2021-02-01,30054.73046875
2021-02-02,30276.880859375
2021-02-03,30689.650390625
2021-02-04,30737.779296875
2021-02-05,31093.810546875
2021-02-08,31191.19921875
2021-02-09,31359.880859375
2021-02-10,31428.01953125
2021-02-11,31466.490234375
2021-02-12,31420.80078125
2021-02-16,31472.080078125
2021-02-17,31485.609375
2021-02-18,31558.599609375
2021-02-19,31504.130859375
2021-02-22,31381.119140625
2021-02-23,31501.890625
2021-02-24,31499.75
2021-02-25,31955.939453125
2021-02-26,31401.2890625
2021-03-01,31065.900390625
2021-03-02,31535.369140625
2021-03-03,31352.9609375
2021-03-04,31289.009765625
2021-03-05,31029.1796875
2021-03-08,31512.150390625
2021-03-09,31892.349609375
2021-03-10,31906.9609375
2021-03-11,32354.5
2021-03-12,32462.400390625
2021-03-15,32798.83984375
2021-03-16,32966.75
2021-03-17,32825.51953125
2021-03-18,32928.16015625
2021-03-19,32858.359375
2021-03-22,32601.8203125
2021-03-23,32691.5
2021-03-24,32470.880859375
2021-03-25,32346.810546875
2021-03-26,32681.0703125
2021-03-29,33087.55078125
2021-03-30,33127.87890625
2021-03-31,33116.0390625
2021-04-01,33054.578125
2021-04-05,33222.37890625
2021-04-06,33500.01953125
2021-04-07,33444.98046875
2021-04-08,33469.890625
2021-04-09,33526.19140625
2021-04-12,33775.05859375
2021-04-13,33721.16015625
2021-04-14,33668.94921875
2021-04-15,33788.53125
2021-04-16,34058.16015625
2021-04-19,34182.37890625
2021-04-20,34034.1796875
2021-04-21,33808.30078125
2021-04-22,34109.87890625
2021-04-23,33804.51953125
2021-04-26,34044.23046875
2021-04-27,33932.12890625
2021-04-28,33860.4609375
2021-04-29,33855.640625
2021-04-30,33988.75
2021-05-03,33904.890625
2021-05-04,34080.19921875
2021-05-05,34163.98828125
2021-05-06,34245.109375
2021-05-07,34578.26953125
2021-05-10,34785.26953125
2021-05-11,34572.73828125
2021-05-12,34206.3984375
2021-05-13,33624.73828125
2021-05-14,34050.859375
2021-05-17,34375.2890625
2021-05-18,34351.1796875
2021-05-19,33945.80859375
2021-05-20,33906.30078125
2021-05-21,34121.91015625
2021-05-24,34253.87109375
2021-05-25,34428.66015625
2021-05-26,34336.33984375
2021-05-27,34432.46875
2021-05-28,34558.5
2021-06-01,34584.19140625
2021-06-02,34614.62109375
2021-06-03,34550.30859375
2021-06-04,34618.69140625
2021-06-07,34766.19921875
2021-06-08,34645.83984375
2021-06-09,34626.16015625
2021-06-10,34502.51171875
2021-06-11,34499.80859375
2021-06-14,34472.51953125
2021-06-15,34397.1015625
2021-06-16,34308.48046875
2021-06-17,34014.37890625
2021-06-18,33622.69921875
2021-06-21,33312.0703125
2021-06-22,33872.55859375
2021-06-23,33948.5390625
2021-06-24,33933.91015625
2021-06-25,34328.1015625
2021-06-28,34428.1015625
2021-06-29,34338.890625
2021-06-30,34290.73828125
2021-07-01,34507.3203125
2021-07-02,34642.421875
2021-07-06,34790.16015625
2021-07-07,34604.171875
2021-07-08,34569.01171875
2021-07-09,34457.51171875
2021-07-12,34836.75
2021-07-13,34959.9609375
2021-07-14,34920.828125
2021-07-15,34924.80859375
2021-07-16,35007.94140625
2021-07-19,34528.48046875
2021-07-20,33981.7890625
2021-07-21,34556.9609375
2021-07-22,34799.6796875
2021-07-23,34855.109375
2021-07-26,35055.859375
2021-07-27,35078.8984375
2021-07-28,35109.94921875
2021-07-29,34985.98828125
2021-07-30,35013.26171875
2021-08-02,34968.55859375
2021-08-03,34864.1015625
2021-08-04,35047.44140625
2021-08-05,34815.609375
2021-08-06,35077.44140625
2021-08-09,35229.671875
2021-08-10,35135.171875
2021-08-11,35300.890625
2021-08-12,35481.94140625
2021-08-13,35551.55859375
2021-08-16,35490.828125
2021-08-17,35500.01171875
2021-08-18,35310.19921875
2021-08-19,34874.671875
2021-08-20,34917.9609375
2021-08-23,35160.96875
2021-08-24,35382.71875
2021-08-25,35388.76953125
2021-08-26,35449.6796875
2021-08-27,35231.109375
2021-08-30,35471.80078125
2021-08-31,35391.37890625
2021-09-01,35387.55078125
2021-09-02,35353.05859375
2021-09-03,35401.73046875
2021-09-07,35373.23828125
2021-09-08,35087.44921875
2021-09-09,35013.078125
2021-09-10,34949.58984375
2021-09-13,34665.5
2021-09-14,34906.8984375
2021-09-15,34580.94921875
2021-09-16,34810.26953125
2021-09-17,34737.859375
2021-09-20,34459.71875
2021-09-21,34025.609375
2021-09-22,34006.87109375
2021-09-23,34296.30078125
2021-09-24,34762.30859375
2021-09-27,34739.26953125
2021-09-28,34747.69921875
2021-09-29,34360.078125
2021-09-30,34467.98046875
2021-10-01,33930.69921875
2021-10-04,34312.9609375
2021-10-05,34035.25
2021-10-06,34198.9609375
2021-10-07,34509.71875
2021-10-08,34757.5703125
